rank,name,popularity
0,Gossiping,14780
1,C_Chat,3842
2,NBA,3369
3,Baseball,3349
4,Stock,3327
5,iOS,1930
6,sex,1400
7,MobileComm,1312
8,Lifeismoney,1210
9,car,1175
10,LoL,1124
11,movie,814
12,home-sale,773
13,Beauty,761
14,Boy-Girl,753
15,Tech_Job,737
16,BabyMother,725
17,AllTogether,683
18,WomenTalk,673
19,HatePolitics,672
20,PC_Shopping,612
21,e-shopping,570
22,KoreaDrama,486
23,joke,485
24,KoreaStar,461
25,Elephants,429
26,marriage,417
27,Tainan,409
28,marvel,409
29,japanavgirls,387
30,creditcard,363
31,Lakers,345
32,NSwitch,339
33,BeautySalon,337
34,MakeUp,312
35,ToS,310
36,KR_Entertain,308
37,Kaohsiung,307
38,SportLottery,304
39,Japandrama,296
40,StupidClown,273
41,Steam,272
42,CVS,270
43,CFantasy,261
44,PlayStation,255
45,Salary,241
46,TaichungBun,238
47,PCReDive,231
48,Tennis,215
49,PuzzleDragon,214
50,HardwareSale,204
51,EAseries,202
52,basketballTW,199
53,Lions,198
54,biker,197
55,China-Drama,194
56,Guardians,189
57,PokemonGO,187
58,MuscleBeach,175
59,MH,166
60,GetMarry,166
61,watch,166
62,AC_In,159
63,Hsinchu,157
64,TypeMoon,151
65,BuyTogether,151
66,TW_Entertain,150
67,PathofExile,148
68,Gamesale,142
69,CarShop,142
70,E-appliance,142
71,WOW,141
72,ONE_PIECE,140
73,Military,140
74,FATE_GO,134
75,Food,133
76,YuanChuang,131
77,KoreanPop,130
78,Examination,129
79,TWICE,129
80,Soft_Job,127
81,TaiwanDrama,127
82,Headphone,124
83,Option,123
84,gay,121
85,lesbian,120
86,forsale,118
87,BB-Love,116
88,Monkeys,110
89,PublicServan,109
90,cat,108
91,BTS,108
92,MacShop,107
93,FITNESS,107
94,Bank_Service,105
95,Hearthstone,104
96,Brand,104
97,HelpBuy,101
98,Hip-Hop,100
99,mobilesales,97
100,facelift,91
101,feminine_sex,91
102,part-time,91
103,Sakurazaka46,88
104,Railway,87
105,MobilePay,87
106,Gov_owned,87
107,Finance,86
108,fastfood,85
109,hypermall,84
110,DMM_GAMES,84
111,Zastrology,84
112,nb-shopping,83
113,cookclub,81
114,MLB,81
115,BabyProducts,79
116,Wanted,79
117,DSLR,76
118,outdoorgear,72
119,SET,71
120,Japan_Travel,71
121,DC_SALE,70
122,SuperBike,70
123,give,69
124,job,67
125,Taoyuan,66
126,ChungLi,65
127,NBA_Film,64
